crop_type,acreage,harvest_date,yield,fertilizer_type
corn,4190.73,8/26/2022,386.1,phosphorus
rice,2860.07,8/22/2022,127.76,nitrogen
soybeans,1193.78,10/15/2022,253.27,potassium
soybeans,4817.36,8/23/2022,224.3,nitrogen
wheat,8060.77,3/18/2022,36.87,potassium
cotton,935.16,6/2/2022,131.32,potassium
rice,1824.6,11/18/2022,434.62,potassium
cotton,905.39,9/6/2022,277.34,nitrogen
rice,6518.13,6/15/2022,2.56,nitrogen
soybeans,7938.95,4/24/2022,337.7,nitrogen
cotton,825.01,7/10/2022,308.17,nitrogen
corn,3410.19,9/27/2022,285.35,potassium
rice,7460.96,8/26/2022,289.04,potassium
cotton,5409.78,1/30/2022,474.61,potassium
corn,4673.51,9/9/2022,39.5,phosphorus
soybeans,8037.63,11/27/2022,290.8,phosphorus
wheat,8985.37,8/18/2022,9.68,phosphorus
wheat,1970.78,1/13/2022,28.49,nitrogen
rice,8948.67,12/10/2022,106.27,phosphorus
soybeans,2148.82,2/6/2022,398.75,phosphorus
rice,3066.92,2/20/2022,37.97,nitrogen
cotton,2536.34,12/6/2022,343.1,phosphorus
cotton,5596.84,2/16/2022,401.93,potassium
corn,2396.22,4/28/2022,409.58,potassium
cotton,1586.48,4/13/2022,345.9,nitrogen
cotton,8202.38,10/15/2022,456.38,potassium
corn,7602.33,6/16/2022,62.74,potassium
cotton,8128.58,11/17/2022,55.06,phosphorus
cotton,96.89,6/12/2022,177.34,phosphorus
cotton,7812.3,7/14/2022,412.96,nitrogen
wheat,4904.69,6/15/2022,361.52,potassium
wheat,944.35,3/14/2022,105.58,nitrogen
soybeans,2907.58,8/11/2022,216.85,phosphorus
cotton,2907.71,5/15/2022,229.09,phosphorus
soybeans,2550.37,9/13/2022,284.04,phosphorus
soybeans,5110.48,3/28/2022,152.38,potassium
rice,9284.79,9/4/2022,31.17,potassium
cotton,2665.4,6/8/2022,375.06,potassium
wheat,8082.54,3/23/2022,403.37,nitrogen
rice,1737.49,6/16/2022,31.98,potassium
wheat,4179.14,2/24/2022,279.05,phosphorus
rice,536.15,9/25/2022,298.2,potassium
soybeans,6529.7,6/29/2022,361.42,phosphorus
corn,1772.84,5/30/2022,292.34,potassium
wheat,9997.06,12/10/2022,14.01,nitrogen
cotton,6676.58,4/5/2022,60.56,phosphorus
wheat,1868.94,8/16/2022,458.45,potassium
rice,7388.26,2/3/2022,344.6,phosphorus
rice,865.3,9/8/2022,382.1,potassium
wheat,3131.22,8/10/2022,218.74,phosphorus
soybeans,5101.09,1/29/2022,458.3,nitrogen
corn,9012.41,5/31/2022,240.66,nitrogen
corn,5102.72,1/20/2022,321.73,potassium
rice,3582.67,8/10/2022,271.1,potassium
soybeans,5400.92,8/10/2022,181.33,potassium
wheat,2097.39,1/7/2022,55.87,nitrogen
wheat,5924.83,3/20/2022,246.43,phosphorus
rice,2295.68,4/5/2022,170.15,potassium
wheat,3325.62,11/25/2022,473.68,phosphorus
rice,6800.05,8/15/2022,396.5,phosphorus
rice,4350.18,11/11/2022,150.86,nitrogen
corn,2159.14,9/2/2022,107.67,potassium
wheat,4855.86,5/4/2022,86.08,nitrogen
corn,8599.31,2/19/2022,378.06,nitrogen
rice,5225.16,2/17/2022,376.88,nitrogen
wheat,6405.85,1/7/2022,387.98,nitrogen
wheat,9436.27,2/8/2022,390.57,nitrogen
wheat,966.8,3/1/2022,475.71,potassium
wheat,9286.5,11/12/2022,306.95,potassium
soybeans,2666.82,11/30/2022,266.99,phosphorus
rice,6994.36,7/18/2022,97.45,phosphorus
corn,4054.16,10/16/2022,209.54,potassium
rice,382.17,12/3/2022,127.33,phosphorus
soybeans,9520.58,8/1/2022,245.87,nitrogen
corn,4211.62,1/10/2022,206.24,phosphorus
corn,3524.4,4/19/2022,52.93,phosphorus
soybeans,3782.13,4/16/2022,141.19,potassium
cotton,9192.75,12/7/2022,484.29,phosphorus
corn,7542.5,8/31/2022,15.48,phosphorus
wheat,8731.93,8/26/2022,148.68,potassium
soybeans,3.53,9/12/2022,209.57,nitrogen
rice,1666.3,4/12/2022,180.35,potassium
soybeans,1115.76,12/9/2022,323.32,potassium
soybeans,7572.2,3/30/2022,247.49,phosphorus
wheat,5705.07,4/5/2022,38.98,nitrogen
wheat,5576.69,7/12/2022,423.09,nitrogen
soybeans,3413.29,12/19/2022,396.33,nitrogen
wheat,2538.96,11/22/2022,286.2,potassium
soybeans,406.94,7/6/2022,470.35,potassium
corn,2436.6,3/16/2022,71.36,nitrogen
corn,7533.61,10/29/2022,71.25,potassium
soybeans,1984.89,10/14/2022,149.37,nitrogen
soybeans,6758.8,9/23/2022,269.9,potassium
rice,7634.02,10/30/2022,381.53,nitrogen
cotton,9679.76,6/19/2022,223.95,nitrogen
soybeans,6357.96,12/4/2022,172.72,phosphorus
rice,7160.03,4/12/2022,425.97,potassium
cotton,9598.8,5/7/2022,16.03,nitrogen
wheat,9134.75,1/20/2022,158.02,potassium
cotton,3462.78,11/12/2022,479.88,nitrogen
corn,4749.82,2/19/2022,152.68,nitrogen
rice,538.32,9/6/2022,53.86,potassium
soybeans,4590.57,4/1/2022,36.06,potassium
wheat,5580.94,4/17/2022,414.74,phosphorus
corn,1380.41,11/6/2022,79.15,nitrogen
soybeans,7331.42,11/26/2022,239.01,phosphorus
rice,3142.15,2/3/2022,70.64,nitrogen
corn,384.14,3/5/2022,167.72,potassium
corn,6181.46,6/7/2022,490.86,phosphorus
corn,7481.39,2/21/2022,95.55,nitrogen
wheat,2894.85,11/6/2022,407.31,potassium
soybeans,6062.99,8/1/2022,150.52,nitrogen
corn,7777.51,2/24/2022,8.3,phosphorus
corn,1037.88,1/10/2022,212.58,phosphorus
wheat,2914.7,11/30/2022,189.46,phosphorus
rice,7260.83,10/19/2022,381.89,phosphorus
soybeans,5213.12,10/22/2022,472.9,phosphorus
corn,3897.7,9/11/2022,148.04,phosphorus
soybeans,9680.02,6/27/2022,10.15,phosphorus
soybeans,3910.6,9/24/2022,470.44,nitrogen
soybeans,3957.74,4/3/2022,420.71,phosphorus
wheat,7901.26,6/24/2022,243.79,phosphorus
cotton,9434.23,12/25/2022,278.74,nitrogen
wheat,9107.15,10/22/2022,73.92,nitrogen
wheat,7128.02,7/12/2022,282.69,potassium
wheat,980.87,2/12/2022,327.49,potassium
wheat,7746.73,10/23/2022,420.95,potassium
corn,6617.32,8/14/2022,104.5,nitrogen
rice,5915.26,3/15/2022,98.76,nitrogen
soybeans,5488.81,4/1/2022,335.73,potassium
rice,9033.84,3/27/2022,232.77,nitrogen
cotton,3219.23,3/8/2022,304.5,potassium
soybeans,7666.05,4/9/2022,468.74,potassium
soybeans,8945.4,12/14/2022,45.49,nitrogen
wheat,8361.97,11/30/2022,462.46,potassium
soybeans,2245.95,5/21/2022,412.76,phosphorus
corn,6636.89,11/26/2022,437.45,phosphorus
wheat,4662.31,11/26/2022,307.48,potassium
soybeans,7956.75,12/8/2022,198.71,potassium
corn,4766.95,1/2/2022,71.02,phosphorus
wheat,1713.53,10/22/2022,455.9,nitrogen
wheat,8381.24,10/22/2022,428.29,potassium
corn,2127.35,12/20/2022,308.91,potassium
rice,8339.71,2/14/2022,461.73,nitrogen
corn,1732.26,4/19/2022,351.6,nitrogen
soybeans,2622.46,3/27/2022,467.52,nitrogen
soybeans,7338.04,1/29/2022,102.27,phosphorus
rice,9602.25,2/28/2022,299.04,nitrogen
soybeans,3568.91,3/31/2022,485.15,phosphorus
cotton,9904.05,7/16/2022,178.51,phosphorus
rice,2717.9,8/23/2022,176.44,nitrogen
wheat,2802.05,8/7/2022,477.06,nitrogen
cotton,3564.3,3/12/2022,328.08,phosphorus
soybeans,5044.64,1/20/2022,88.69,phosphorus
wheat,7392.15,11/2/2022,411.91,potassium
corn,5559.61,3/15/2022,407.1,potassium
corn,1783.02,11/5/2022,440.95,phosphorus
corn,4107.48,7/27/2022,284.74,phosphorus
soybeans,2478.19,3/21/2022,92.15,potassium
wheat,6314.21,3/31/2022,165.55,potassium
wheat,378.28,4/15/2022,303.03,potassium
cotton,5884.02,9/14/2022,222.97,phosphorus
corn,9582.05,9/9/2022,256.07,potassium
cotton,7390.71,3/24/2022,160.95,nitrogen
rice,3476.76,10/13/2022,37.04,potassium
wheat,9537.09,3/30/2022,176.88,nitrogen
soybeans,1355.68,3/15/2022,157.43,phosphorus
soybeans,1181.83,12/20/2022,266.76,phosphorus
wheat,1097.68,4/13/2022,190.82,phosphorus
wheat,9300.45,11/28/2022,451.58,nitrogen
rice,8621.99,1/3/2022,299.78,nitrogen
cotton,4290.54,7/18/2022,400.39,nitrogen
soybeans,6219.18,8/14/2022,441.75,potassium
corn,4204.14,4/15/2022,324.37,nitrogen
wheat,6250.66,8/23/2022,222.49,potassium
cotton,9562.24,6/11/2022,78.75,phosphorus
corn,2562.63,10/5/2022,123.37,phosphorus
soybeans,4579.42,1/2/2022,433.02,potassium
corn,3469.02,2/17/2022,406.74,potassium
wheat,4664.55,4/25/2022,162.08,nitrogen
soybeans,3212.68,11/26/2022,323.93,potassium
rice,7703.2,1/16/2022,43.59,nitrogen
corn,5868.83,1/19/2022,128.64,phosphorus
cotton,3515.41,12/16/2022,367.53,nitrogen
rice,4873.05,4/30/2022,204.25,nitrogen
cotton,608.36,8/12/2022,247.72,potassium
soybeans,3279.77,3/2/2022,300.56,nitrogen
wheat,1172.0,11/1/2022,281.9,potassium
wheat,3296.25,11/9/2022,350.15,phosphorus
cotton,4322.49,5/15/2022,30.21,nitrogen
wheat,6248.65,2/15/2022,29.94,potassium
corn,4704.51,12/29/2022,161.63,phosphorus
soybeans,3358.43,6/26/2022,5.15,nitrogen
corn,3107.83,1/15/2022,442.56,nitrogen
rice,706.61,8/31/2022,79.56,potassium
corn,563.58,5/20/2022,485.07,nitrogen
soybeans,9117.47,8/6/2022,430.19,potassium
cotton,9573.09,2/16/2022,196.82,potassium
wheat,6587.5,11/16/2022,492.53,nitrogen
corn,3248.64,12/12/2022,28.49,phosphorus
cotton,301.06,2/7/2022,19.67,nitrogen
corn,9595.09,7/19/2022,259.22,potassium
cotton,8977.43,7/5/2022,387.02,nitrogen
cotton,8921.6,1/20/2022,187.84,potassium
soybeans,1308.52,3/26/2022,73.67,potassium
cotton,1839.76,1/1/2022,282.42,potassium
cotton,4379.41,6/16/2022,291.53,potassium
cotton,8592.06,6/30/2022,122.82,potassium
corn,4562.0,11/7/2022,312.69,phosphorus
rice,6236.76,4/29/2022,181.62,nitrogen
rice,9960.48,3/12/2022,184.47,potassium
rice,7517.17,4/11/2022,26.42,nitrogen
corn,1800.96,5/22/2022,175.92,phosphorus
rice,1234.67,4/15/2022,330.22,nitrogen
cotton,5470.71,3/24/2022,36.24,nitrogen
corn,8095.64,1/13/2022,162.83,potassium
rice,7866.6,2/17/2022,492.35,nitrogen
rice,564.66,6/25/2022,191.92,phosphorus
corn,9708.55,10/8/2022,86.73,phosphorus
corn,6944.04,11/14/2022,24.34,phosphorus
corn,4720.81,3/21/2022,3.28,phosphorus
wheat,4783.57,4/26/2022,477.51,phosphorus
soybeans,5715.39,4/30/2022,132.71,nitrogen
corn,159.79,7/24/2022,326.05,phosphorus
rice,8841.54,6/24/2022,391.46,potassium
soybeans,890.01,6/9/2022,425.93,potassium
cotton,6022.78,7/27/2022,106.95,potassium
wheat,5887.22,12/2/2022,90.28,phosphorus
soybeans,9407.78,12/17/2022,233.88,potassium
wheat,2000.73,3/14/2022,366.68,potassium
cotton,363.77,10/25/2022,211.96,phosphorus
cotton,8968.19,9/14/2022,298.98,phosphorus
wheat,6557.88,11/6/2022,283.86,phosphorus
rice,5449.81,11/10/2022,368.79,potassium
soybeans,5328.68,4/1/2022,88.44,phosphorus
rice,7331.36,9/8/2022,327.4,nitrogen
wheat,9445.1,6/2/2022,131.61,phosphorus
soybeans,5362.9,9/10/2022,321.84,nitrogen
corn,7128.92,12/25/2022,297.15,potassium
rice,8657.74,6/13/2022,253.94,nitrogen
wheat,4203.03,11/12/2022,220.84,potassium
corn,7460.22,9/13/2022,276.7,potassium
corn,1157.66,6/1/2022,193.81,nitrogen
cotton,6869.37,5/26/2022,23.95,phosphorus
rice,663.65,11/26/2022,149.08,nitrogen
corn,1068.61,5/9/2022,61.34,potassium
cotton,1660.96,10/13/2022,73.8,nitrogen
corn,1948.88,1/3/2022,16.16,nitrogen
wheat,1614.37,1/8/2022,220.11,phosphorus
rice,8262.64,6/27/2022,414.06,phosphorus
rice,4346.81,3/31/2022,178.08,nitrogen
wheat,1781.44,12/14/2022,482.78,nitrogen
cotton,8102.2,9/9/2022,356.95,potassium
soybeans,97.4,8/14/2022,386.45,potassium
cotton,7139.88,9/19/2022,132.87,phosphorus
wheat,9358.22,2/2/2022,1.95,nitrogen
corn,9153.21,7/20/2022,322.68,nitrogen
corn,9478.22,8/4/2022,297.67,potassium
rice,1713.5,9/20/2022,419.0,potassium
rice,709.4,1/12/2022,463.37,potassium
rice,3366.5,2/3/2022,479.69,nitrogen
cotton,9595.16,6/19/2022,179.51,potassium
corn,2023.93,6/16/2022,324.95,phosphorus
rice,2357.63,5/12/2022,136.31,phosphorus
corn,1965.31,3/5/2022,482.53,potassium
corn,5581.4,11/22/2022,415.23,potassium
corn,9186.86,7/23/2022,425.1,nitrogen
soybeans,9194.35,9/1/2022,287.55,phosphorus
soybeans,2729.27,4/2/2022,384.0,phosphorus
soybeans,7125.58,2/22/2022,11.55,nitrogen
corn,8436.14,1/3/2022,219.0,nitrogen
rice,3773.44,1/16/2022,86.59,phosphorus
soybeans,8839.95,5/18/2022,66.7,nitrogen
corn,6562.49,7/3/2022,353.33,phosphorus
cotton,3240.66,8/21/2022,390.07,nitrogen
rice,6741.2,10/27/2022,151.25,potassium
soybeans,380.85,12/29/2022,324.39,phosphorus
soybeans,1237.92,1/13/2022,224.74,potassium
soybeans,634.69,5/10/2022,216.26,nitrogen
rice,9117.42,5/31/2022,310.79,potassium
corn,6869.27,8/3/2022,149.62,potassium
rice,7255.58,7/7/2022,219.12,nitrogen
soybeans,5812.18,10/28/2022,218.61,phosphorus
cotton,5088.76,12/12/2022,492.78,potassium
cotton,1420.97,1/26/2022,234.16,nitrogen
wheat,7749.37,5/5/2022,406.58,potassium
soybeans,9050.24,8/10/2022,143.39,phosphorus
wheat,8141.56,5/18/2022,60.31,potassium
rice,3354.22,12/17/2022,226.49,phosphorus
cotton,7780.85,5/9/2022,456.8,potassium
soybeans,3914.93,9/9/2022,90.55,phosphorus
rice,713.18,7/22/2022,352.95,potassium
cotton,3166.91,5/17/2022,74.92,potassium
rice,1570.33,8/19/2022,314.53,nitrogen
rice,9622.92,6/10/2022,252.52,nitrogen
cotton,1155.75,12/26/2022,479.32,nitrogen
soybeans,8171.56,4/1/2022,208.23,nitrogen
rice,6023.94,9/27/2022,25.78,nitrogen
rice,2372.79,10/19/2022,137.89,potassium
corn,883.78,10/23/2022,402.78,nitrogen
cotton,1083.03,11/5/2022,415.25,nitrogen
rice,881.56,1/26/2022,63.77,nitrogen
cotton,3249.23,7/15/2022,289.01,nitrogen
corn,3614.45,12/16/2022,122.72,nitrogen
soybeans,8345.18,11/13/2022,434.11,potassium
cotton,2846.2,7/5/2022,134.8,phosphorus
rice,7705.08,9/4/2022,41.1,phosphorus
rice,3292.48,6/2/2022,98.46,potassium
cotton,8191.92,1/24/2022,52.64,nitrogen
cotton,5407.12,9/2/2022,384.64,nitrogen
rice,3995.6,5/9/2022,149.39,nitrogen
soybeans,2985.27,11/9/2022,452.3,potassium
rice,8754.82,6/27/2022,88.91,nitrogen
cotton,2815.75,4/11/2022,417.17,phosphorus
cotton,1228.76,8/2/2022,157.35,nitrogen
soybeans,3415.25,1/6/2022,282.4,phosphorus
soybeans,2304.49,9/30/2022,48.47,phosphorus
wheat,8370.43,4/19/2022,399.27,potassium
wheat,1016.49,4/13/2022,429.34,phosphorus
cotton,9464.11,8/13/2022,106.94,phosphorus
corn,1998.69,5/27/2022,87.31,potassium
cotton,416.32,6/5/2022,65.76,potassium
corn,248.58,3/15/2022,278.34,potassium
wheat,3864.52,10/7/2022,324.91,phosphorus
rice,6366.27,1/1/2022,244.58,nitrogen
rice,4333.86,6/8/2022,268.89,nitrogen
corn,6866.82,11/29/2022,335.71,phosphorus
corn,9844.34,11/13/2022,309.58,phosphorus
corn,9143.49,4/23/2022,171.51,nitrogen
corn,1357.32,11/21/2022,65.17,potassium
wheat,1719.32,11/13/2022,5.71,phosphorus
rice,1699.13,3/10/2022,1.87,nitrogen
wheat,9225.02,2/20/2022,203.79,potassium
soybeans,6497.69,1/2/2022,174.19,potassium
wheat,8452.45,5/6/2022,220.19,potassium
rice,6326.17,7/12/2022,456.57,phosphorus
rice,9961.24,5/3/2022,396.61,potassium
cotton,1646.71,1/17/2022,217.3,phosphorus
soybeans,6408.31,12/19/2022,139.4,phosphorus
cotton,5710.4,9/27/2022,349.99,potassium
soybeans,3945.18,8/2/2022,126.17,phosphorus
corn,838.11,4/7/2022,418.74,phosphorus
wheat,6883.77,12/28/2022,65.09,potassium
rice,1933.08,8/30/2022,442.5,nitrogen
rice,7472.61,6/22/2022,396.99,phosphorus
soybeans,6424.49,2/14/2022,277.55,potassium
cotton,609.61,10/10/2022,217.93,phosphorus
cotton,2266.56,6/22/2022,39.52,phosphorus
cotton,753.49,3/27/2022,211.24,phosphorus
corn,5307.3,10/13/2022,473.16,potassium
corn,7821.82,7/6/2022,198.97,phosphorus
cotton,5657.2,3/5/2022,305.72,potassium
cotton,1081.47,9/28/2022,449.59,phosphorus
corn,8368.31,1/15/2022,368.87,phosphorus
cotton,2249.87,7/19/2022,199.9,phosphorus
cotton,4340.44,1/27/2022,478.04,potassium
cotton,6168.37,3/9/2022,286.48,phosphorus
rice,6132.99,8/15/2022,468.82,phosphorus
corn,4665.24,12/13/2022,238.31,phosphorus
rice,6950.91,3/4/2022,468.93,nitrogen
corn,5317.27,9/24/2022,100.74,phosphorus
cotton,6624.33,12/9/2022,211.92,nitrogen
wheat,9163.96,8/13/2022,320.79,potassium
wheat,5205.63,12/29/2022,380.47,nitrogen
wheat,8108.92,4/2/2022,401.53,phosphorus
corn,4279.84,7/5/2022,355.92,nitrogen
wheat,2470.25,1/15/2022,162.43,phosphorus
rice,4939.6,6/25/2022,399.02,potassium
cotton,4913.68,7/19/2022,21.48,phosphorus
cotton,9822.64,10/21/2022,301.6,potassium
soybeans,6734.87,7/5/2022,408.56,nitrogen
corn,1764.67,4/5/2022,344.25,potassium
rice,4084.15,12/10/2022,136.43,nitrogen
wheat,2914.8,9/19/2022,317.92,potassium
wheat,6316.16,3/9/2022,272.45,phosphorus
rice,5612.76,2/27/2022,460.32,nitrogen
wheat,5992.23,7/8/2022,303.31,potassium
corn,7968.47,3/26/2022,306.98,phosphorus
soybeans,3433.51,10/19/2022,429.78,phosphorus
wheat,3271.62,12/5/2022,216.4,potassium
corn,7175.46,7/19/2022,254.68,nitrogen
soybeans,3036.2,1/9/2022,433.8,phosphorus
soybeans,9518.98,1/30/2022,291.37,phosphorus
wheat,409.43,6/15/2022,382.8,nitrogen
corn,1305.32,2/27/2022,396.84,nitrogen
corn,2181.81,9/9/2022,152.55,potassium
corn,8850.17,12/8/2022,463.97,nitrogen
soybeans,7346.59,4/12/2022,173.72,nitrogen
corn,6672.78,7/31/2022,172.32,potassium
corn,8416.81,12/27/2022,397.18,potassium
rice,5477.45,5/7/2022,452.44,phosphorus
corn,2745.51,8/5/2022,246.38,potassium
cotton,3275.71,8/12/2022,10.68,nitrogen
soybeans,5313.49,5/4/2022,375.33,nitrogen
wheat,817.03,3/13/2022,225.89,phosphorus
cotton,4006.35,2/27/2022,165.38,nitrogen
rice,5461.16,11/27/2022,226.74,phosphorus
corn,9530.19,2/25/2022,164.28,phosphorus
rice,4396.76,2/10/2022,72.01,phosphorus
soybeans,4048.2,6/4/2022,182.08,phosphorus
wheat,9507.22,3/7/2022,435.64,potassium
wheat,7809.24,1/14/2022,117.16,nitrogen
corn,1450.4,3/19/2022,119.99,phosphorus
wheat,2145.85,11/1/2022,100.07,potassium
soybeans,8090.4,6/20/2022,224.34,nitrogen
cotton,1662.34,7/8/2022,207.19,nitrogen
wheat,7503.79,9/3/2022,121.21,potassium
wheat,5395.78,11/23/2022,54.63,phosphorus
soybeans,7665.78,1/13/2022,93.1,potassium
rice,9965.72,12/1/2022,160.41,nitrogen
corn,8389.44,5/6/2022,94.48,phosphorus
corn,5242.77,7/8/2022,394.87,potassium
soybeans,4494.12,11/10/2022,494.86,phosphorus
rice,5142.19,6/14/2022,148.89,nitrogen
corn,6260.13,3/3/2022,273.63,phosphorus
corn,5965.91,4/11/2022,389.84,nitrogen
wheat,8209.39,6/23/2022,131.51,potassium
wheat,2957.48,5/8/2022,90.9,potassium
wheat,3022.99,2/14/2022,112.33,phosphorus
corn,8615.06,1/15/2022,414.94,potassium
cotton,8969.79,7/2/2022,220.96,nitrogen
wheat,7870.93,11/7/2022,416.36,potassium
soybeans,1130.13,6/9/2022,375.77,potassium
soybeans,7700.6,11/18/2022,313.75,nitrogen
soybeans,373.91,9/22/2022,345.18,potassium
cotton,4112.76,6/24/2022,492.5,nitrogen
rice,2721.87,11/8/2022,208.63,phosphorus
rice,6425.34,9/30/2022,309.07,nitrogen
soybeans,9175.84,10/7/2022,409.68,phosphorus
cotton,9071.83,6/14/2022,264.17,phosphorus
corn,5476.84,4/3/2022,291.1,phosphorus
soybeans,7632.9,1/8/2022,27.03,nitrogen
rice,1519.31,5/30/2022,231.08,potassium
wheat,8882.11,4/30/2022,425.83,nitrogen
corn,1653.56,11/19/2022,437.41,nitrogen
rice,88.15,3/6/2022,396.31,phosphorus
cotton,8012.4,4/11/2022,296.27,nitrogen
corn,5587.78,1/22/2022,14.18,nitrogen
wheat,5795.22,9/20/2022,104.15,nitrogen
cotton,1183.85,5/7/2022,380.84,nitrogen
soybeans,9179.96,10/30/2022,262.75,phosphorus
corn,8686.93,11/5/2022,242.8,nitrogen
rice,3554.76,9/29/2022,130.79,nitrogen
wheat,3223.95,10/12/2022,41.34,potassium
cotton,7161.28,1/4/2022,223.85,potassium
cotton,9885.18,1/6/2022,278.87,phosphorus
wheat,8764.1,6/28/2022,420.14,phosphorus
rice,7437.87,10/26/2022,317.06,potassium
cotton,923.79,4/15/2022,305.12,potassium
wheat,9320.41,11/27/2022,58.34,nitrogen
cotton,1312.05,12/6/2022,175.78,nitrogen
rice,6145.49,4/5/2022,357.56,potassium
wheat,2652.24,4/13/2022,134.98,phosphorus
wheat,4683.57,2/3/2022,308.9,nitrogen
soybeans,7961.76,1/19/2022,128.15,phosphorus
corn,263.23,4/27/2022,156.72,nitrogen
rice,5775.72,5/17/2022,422.93,phosphorus
cotton,8545.38,7/31/2022,168.41,potassium
rice,2750.42,10/21/2022,448.84,nitrogen
corn,5940.59,8/28/2022,72.05,potassium
corn,938.72,4/23/2022,479.89,potassium
cotton,4387.86,8/25/2022,130.71,nitrogen
rice,6519.01,5/18/2022,121.13,potassium
wheat,6190.3,7/26/2022,144.48,nitrogen
corn,3124.13,6/12/2022,74.14,potassium
cotton,5570.81,12/5/2022,4.24,phosphorus
rice,6488.67,2/8/2022,313.66,nitrogen
wheat,374.19,4/3/2022,90.6,potassium
soybeans,1407.51,12/20/2022,273.22,nitrogen
cotton,1039.2,5/27/2022,275.96,nitrogen
soybeans,8577.8,5/31/2022,75.07,phosphorus
corn,2481.14,6/20/2022,212.86,phosphorus
rice,5736.07,11/12/2022,322.36,phosphorus
rice,792.08,12/9/2022,45.53,potassium
corn,7027.57,5/27/2022,287.73,phosphorus
corn,4909.82,11/10/2022,342.87,phosphorus
soybeans,9273.55,6/9/2022,493.22,nitrogen
rice,1709.64,11/20/2022,499.55,potassium
rice,1078.64,11/25/2022,343.74,nitrogen
rice,2832.13,4/19/2022,209.52,nitrogen
rice,661.69,2/15/2022,397.27,phosphorus
cotton,2245.49,6/12/2022,261.61,nitrogen
rice,2699.48,12/5/2022,243.36,potassium
corn,6195.57,2/20/2022,271.97,phosphorus
soybeans,8325.15,5/25/2022,383.6,phosphorus
rice,646.17,9/14/2022,184.43,nitrogen
cotton,9211.94,9/22/2022,172.36,potassium
soybeans,2132.13,5/6/2022,58.62,potassium
soybeans,6047.4,4/29/2022,442.87,phosphorus
soybeans,3219.04,12/26/2022,347.34,nitrogen
wheat,9118.14,1/23/2022,140.3,nitrogen
corn,6017.05,3/29/2022,146.73,potassium
corn,1739.48,9/1/2022,22.19,phosphorus
soybeans,407.22,8/20/2022,126.8,phosphorus
wheat,3456.67,2/28/2022,339.83,nitrogen
wheat,2826.85,11/12/2022,131.16,phosphorus
wheat,1003.82,3/22/2022,244.89,phosphorus
soybeans,7106.53,2/18/2022,401.64,potassium
cotton,8841.3,10/14/2022,327.11,phosphorus
