crop_type,yield,rainfall,temperature,soil_type,fertilizer_used,pesticide_used,harvest_date
rice,57,11,14,sandy,true,false,12/26/2022
corn,69,18,-17,sandy,true,true,3/24/2022
soybeans,55,4,-20,sandy,false,false,2/3/2022
corn,26,28,35,clayey,true,false,9/9/2022
wheat,60,24,21,sandy,false,true,10/20/2022
soybeans,42,22,43,clayey,false,true,6/21/2022
barley,27,27,12,loamy,true,false,2/28/2022
soybeans,82,50,5,clayey,true,false,10/2/2022
soybeans,50,3,43,sandy,true,true,6/9/2022
soybeans,3,43,37,sandy,false,false,10/3/2022
barley,84,6,10,clayey,true,false,11/26/2022
barley,34,35,-8,sandy,false,true,10/10/2022
barley,4,33,46,clayey,true,true,5/11/2022
soybeans,39,29,-10,sandy,true,true,10/29/2022
barley,67,17,35,clayey,true,false,9/30/2022
barley,33,43,39,sandy,false,true,4/17/2022
wheat,42,39,29,clayey,true,false,11/16/2022
corn,27,48,50,clayey,true,true,11/26/2022
soybeans,30,49,-18,loamy,false,false,6/12/2022
soybeans,92,38,-15,loamy,true,true,10/22/2022
soybeans,55,8,12,loamy,true,false,1/25/2022
soybeans,84,34,8,sandy,true,false,3/31/2022
soybeans,29,49,5,sandy,true,true,8/11/2022
rice,8,15,26,sandy,false,false,9/29/2022
barley,53,19,-8,clayey,true,true,4/25/2022
corn,100,40,38,loamy,true,true,11/23/2022
soybeans,56,47,4,loamy,false,true,9/8/2022
rice,24,36,33,clayey,false,false,5/5/2022
rice,59,33,22,loamy,true,false,3/17/2022
corn,23,48,-16,loamy,false,false,7/1/2022
wheat,100,19,1,clayey,false,false,7/3/2022
barley,71,0,31,loamy,false,false,6/19/2022
wheat,3,39,45,loamy,true,true,1/4/2022
corn,85,23,25,clayey,false,false,8/31/2022
wheat,65,8,24,loamy,true,true,1/23/2022
barley,52,26,11,loamy,true,true,9/29/2022
barley,20,35,-9,loamy,true,false,8/15/2022
barley,5,10,-9,clayey,true,false,5/20/2022
corn,65,28,23,sandy,true,false,10/21/2022
rice,72,14,7,sandy,true,false,9/1/2022
wheat,42,49,31,clayey,false,false,2/23/2022
corn,91,30,-2,sandy,false,true,3/25/2022
soybeans,2,3,-14,sandy,true,true,6/22/2022
wheat,19,30,26,sandy,false,false,3/13/2022
corn,22,29,18,clayey,false,true,3/9/2022
barley,52,38,-1,clayey,false,true,4/29/2022
soybeans,49,30,30,sandy,false,false,8/12/2022
barley,43,18,-3,loamy,true,true,7/25/2022
rice,20,16,-2,clayey,true,false,10/4/2022
soybeans,20,15,12,loamy,false,false,1/5/2022
barley,67,23,42,loamy,true,true,10/27/2022
barley,34,21,-17,sandy,true,true,4/2/2022
corn,82,41,7,loamy,true,true,6/11/2022
corn,68,39,-3,loamy,false,true,6/17/2022
barley,7,8,-11,loamy,true,false,6/1/2022
wheat,42,4,12,clayey,false,true,10/21/2022
barley,28,43,-12,clayey,false,true,10/23/2022
wheat,33,46,23,clayey,false,true,4/27/2022
wheat,76,32,44,clayey,false,true,11/29/2022
rice,95,29,-17,sandy,true,true,12/13/2022
barley,70,15,0,sandy,true,true,7/7/2022
rice,51,39,-2,loamy,false,true,10/31/2022
corn,88,17,-12,sandy,false,false,11/23/2022
soybeans,98,43,48,loamy,true,false,9/14/2022
rice,62,30,12,loamy,true,true,6/19/2022
corn,32,26,-2,loamy,false,false,12/8/2022
wheat,22,50,13,clayey,false,false,12/28/2022
soybeans,47,34,34,loamy,true,true,8/1/2022
soybeans,32,10,-7,loamy,false,false,12/30/2022
wheat,47,33,5,clayey,true,true,8/15/2022
corn,66,48,10,loamy,true,true,3/4/2022
wheat,50,36,-13,loamy,false,false,2/23/2022
wheat,87,10,33,clayey,false,true,2/15/2022
corn,65,0,16,clayey,false,true,6/12/2022
rice,21,49,15,clayey,false,false,7/5/2022
soybeans,59,29,21,sandy,false,true,10/29/2022
wheat,49,2,1,sandy,false,true,8/8/2022
corn,93,36,44,loamy,false,false,1/3/2022
wheat,18,14,23,clayey,false,false,8/9/2022
soybeans,7,10,49,sandy,true,true,7/28/2022
rice,56,49,34,loamy,false,true,3/13/2022
corn,35,31,20,sandy,false,true,9/13/2022
rice,52,40,24,clayey,false,true,10/26/2022
corn,71,6,37,loamy,true,false,7/6/2022
barley,67,45,17,loamy,false,true,12/19/2022
soybeans,94,17,47,loamy,false,true,12/14/2022
corn,24,9,-1,clayey,true,false,5/14/2022
wheat,17,29,-15,sandy,false,false,2/3/2022
corn,30,28,41,loamy,false,true,3/29/2022
wheat,31,2,4,loamy,false,true,8/14/2022
rice,84,46,38,loamy,false,true,8/28/2022
wheat,89,37,-9,sandy,false,true,12/22/2022
wheat,37,2,32,loamy,false,false,4/29/2022
soybeans,80,4,-5,clayey,false,false,1/11/2022
wheat,26,47,-13,loamy,false,false,7/13/2022
soybeans,5,31,47,loamy,true,false,11/26/2022
corn,47,0,35,sandy,false,false,4/13/2022
barley,13,26,31,sandy,true,false,4/14/2022
rice,58,6,42,loamy,false,false,10/24/2022
soybeans,77,1,47,loamy,false,true,11/24/2022
corn,69,5,7,loamy,false,true,11/26/2022
soybeans,74,11,48,sandy,false,true,11/4/2022
corn,90,7,-10,clayey,false,false,3/31/2022
soybeans,88,24,-10,clayey,false,true,12/14/2022
wheat,9,18,23,clayey,true,true,10/26/2022
rice,49,13,47,clayey,true,false,9/4/2022
wheat,72,33,36,loamy,true,true,9/10/2022
soybeans,36,19,49,clayey,false,true,12/12/2022
corn,27,29,48,loamy,false,true,12/8/2022
corn,64,47,-5,loamy,false,true,7/7/2022
corn,98,37,21,sandy,true,false,2/10/2022
corn,49,49,2,loamy,true,false,10/28/2022
barley,59,24,38,loamy,false,true,8/19/2022
wheat,48,9,26,loamy,false,true,12/2/2022
soybeans,16,44,-9,loamy,true,false,12/7/2022
wheat,36,16,26,sandy,true,true,12/15/2022
rice,19,48,27,sandy,true,false,6/13/2022
rice,12,39,-2,clayey,false,true,5/11/2022
corn,61,48,50,sandy,false,true,1/21/2022
rice,19,12,24,loamy,false,true,8/9/2022
corn,72,6,-6,loamy,false,false,12/28/2022
barley,59,37,29,clayey,false,false,7/13/2022
barley,4,2,35,loamy,true,false,8/20/2022
rice,56,31,-5,sandy,true,false,1/20/2022
wheat,66,29,-19,loamy,false,false,4/5/2022
soybeans,88,0,29,loamy,true,true,8/20/2022
barley,88,12,31,loamy,true,true,6/2/2022
rice,72,3,-13,loamy,true,true,7/10/2022
barley,57,0,19,clayey,true,true,11/8/2022
soybeans,48,26,32,sandy,false,false,9/5/2022
barley,70,49,-11,sandy,false,false,8/8/2022
barley,3,1,49,clayey,false,false,3/23/2022
corn,15,19,3,sandy,false,true,5/18/2022
corn,88,28,4,clayey,false,true,12/23/2022
barley,22,42,-9,clayey,false,false,4/11/2022
barley,42,49,39,loamy,true,false,4/4/2022
wheat,5,4,-7,clayey,true,false,7/3/2022
wheat,36,1,35,loamy,false,true,11/16/2022
rice,46,8,49,sandy,false,false,5/10/2022
soybeans,13,5,11,sandy,true,true,8/11/2022
barley,7,18,25,loamy,true,true,12/3/2022
soybeans,30,17,11,loamy,true,false,9/28/2022
corn,24,3,23,clayey,true,true,10/2/2022
rice,86,10,30,loamy,false,false,12/7/2022
wheat,29,16,32,clayey,true,false,11/16/2022
corn,6,37,24,sandy,false,true,12/1/2022
soybeans,61,31,18,loamy,true,true,11/9/2022
barley,73,16,46,clayey,true,false,3/2/2022
wheat,11,12,49,loamy,true,true,4/29/2022
rice,90,25,14,sandy,true,true,3/21/2022
soybeans,0,18,-12,sandy,false,true,2/24/2022
corn,14,2,26,clayey,false,false,10/26/2022
soybeans,96,21,5,sandy,false,true,6/27/2022
wheat,13,8,9,loamy,false,true,6/28/2022
wheat,30,26,21,loamy,true,false,5/14/2022
barley,99,28,16,loamy,false,true,6/8/2022
rice,98,39,1,loamy,true,false,12/19/2022
corn,37,31,1,sandy,true,false,9/17/2022
rice,12,2,-5,clayey,false,true,5/10/2022
soybeans,92,42,-18,loamy,false,true,8/14/2022
barley,99,25,16,sandy,false,true,12/3/2022
wheat,18,26,-17,loamy,true,true,3/10/2022
rice,9,3,17,clayey,true,false,2/27/2022
wheat,95,31,0,loamy,true,true,8/18/2022
wheat,31,46,3,sandy,false,true,8/18/2022
wheat,78,36,-3,sandy,false,true,3/20/2022
rice,16,48,48,sandy,true,true,4/29/2022
corn,90,24,36,loamy,true,true,4/3/2022
barley,50,15,-16,loamy,true,true,1/1/2022
rice,13,9,16,sandy,false,true,12/16/2022
soybeans,12,0,44,sandy,true,false,12/14/2022
rice,69,41,18,loamy,false,true,4/25/2022
rice,91,28,11,sandy,false,false,3/9/2022
soybeans,57,19,35,sandy,true,true,2/10/2022
corn,49,36,37,sandy,false,false,4/2/2022
corn,9,2,-20,sandy,true,true,8/2/2022
soybeans,66,48,23,clayey,true,false,10/23/2022
wheat,22,37,27,clayey,false,true,5/24/2022
corn,58,18,16,loamy,false,false,2/25/2022
rice,67,43,3,clayey,true,false,10/26/2022
wheat,72,26,14,clayey,false,true,6/5/2022
soybeans,87,43,38,clayey,false,true,10/31/2022
soybeans,88,28,28,loamy,false,true,12/9/2022
wheat,3,42,-4,sandy,false,true,11/23/2022
rice,34,25,41,clayey,false,true,6/27/2022
soybeans,50,16,7,clayey,false,true,3/12/2022
corn,52,6,29,clayey,true,false,2/13/2022
rice,49,14,43,sandy,true,false,7/7/2022
corn,35,21,10,loamy,true,false,7/10/2022
soybeans,0,32,34,loamy,false,false,1/21/2022
corn,9,12,2,sandy,true,true,3/16/2022
corn,31,38,29,sandy,true,false,5/18/2022
corn,82,23,20,loamy,false,false,10/31/2022
rice,59,12,-11,loamy,false,false,2/4/2022
barley,19,6,9,clayey,true,true,3/24/2022
barley,93,21,14,sandy,true,true,12/23/2022
rice,1,6,31,loamy,false,false,7/17/2022
wheat,54,40,-8,loamy,false,false,10/24/2022
rice,32,29,30,clayey,false,true,3/10/2022
rice,72,26,14,loamy,true,true,7/14/2022
corn,91,23,4,sandy,false,true,7/13/2022
soybeans,44,45,49,clayey,false,true,6/11/2022
soybeans,91,9,14,sandy,true,true,7/4/2022
corn,74,49,25,sandy,false,false,9/7/2022
soybeans,10,16,-6,loamy,false,false,1/18/2022
corn,18,8,35,clayey,false,false,4/24/2022
soybeans,27,6,10,clayey,false,true,12/26/2022
wheat,74,13,-12,clayey,false,true,11/27/2022
corn,88,43,44,loamy,true,true,6/13/2022
corn,73,29,40,clayey,true,true,5/29/2022
corn,77,34,32,loamy,false,true,11/16/2022
soybeans,36,35,-7,clayey,false,true,1/1/2022
soybeans,86,44,-11,clayey,false,false,3/23/2022
soybeans,10,15,6,loamy,false,true,9/27/2022
wheat,93,19,26,loamy,false,false,12/14/2022
wheat,46,13,13,loamy,true,false,6/14/2022
rice,10,22,36,clayey,true,true,1/9/2022
barley,7,0,2,sandy,true,true,2/14/2022
rice,97,8,-18,loamy,false,false,10/6/2022
wheat,30,47,42,clayey,false,true,5/6/2022
wheat,99,30,18,loamy,false,false,7/16/2022
wheat,18,38,44,loamy,true,false,6/18/2022
rice,18,38,5,sandy,true,false,9/2/2022
barley,87,26,44,loamy,true,true,12/16/2022
soybeans,65,27,42,loamy,true,true,4/10/2022
soybeans,50,32,4,sandy,true,false,7/19/2022
corn,17,9,27,loamy,false,false,7/22/2022
barley,29,10,-14,loamy,false,false,11/29/2022
soybeans,39,36,19,loamy,true,true,11/29/2022
corn,77,31,-3,sandy,false,false,10/11/2022
soybeans,89,40,25,clayey,true,false,7/20/2022
corn,51,4,-3,loamy,true,false,9/29/2022
wheat,66,33,31,loamy,true,true,1/26/2022
barley,11,2,31,sandy,true,false,9/1/2022
barley,53,21,0,loamy,true,false,4/23/2022
barley,11,15,39,sandy,true,false,10/4/2022
soybeans,5,32,37,loamy,true,true,11/13/2022
wheat,21,44,43,loamy,false,false,4/6/2022
corn,78,7,26,loamy,false,true,4/22/2022
soybeans,39,47,42,sandy,true,true,2/20/2022
soybeans,35,32,-8,clayey,false,false,12/13/2022
rice,92,47,0,clayey,true,false,5/27/2022
barley,68,11,-11,sandy,true,true,1/24/2022
wheat,78,4,-20,loamy,false,true,5/29/2022
barley,90,44,17,clayey,false,true,12/26/2022
barley,42,14,24,clayey,true,false,2/23/2022
soybeans,45,3,-18,loamy,false,false,7/23/2022
soybeans,89,26,47,sandy,false,false,2/10/2022
soybeans,45,49,35,loamy,false,false,1/31/2022
soybeans,3,46,20,loamy,false,false,8/22/2022
rice,51,36,34,loamy,true,false,2/27/2022
barley,16,47,34,sandy,false,false,1/20/2022
corn,5,2,-7,clayey,true,true,2/1/2022
soybeans,77,38,31,loamy,true,false,5/21/2022
corn,74,36,43,clayey,false,false,11/2/2022
corn,36,31,-16,loamy,false,true,6/15/2022
barley,34,20,39,clayey,true,false,8/5/2022
rice,89,18,29,clayey,true,false,6/6/2022
barley,43,34,29,clayey,false,false,2/19/2022
wheat,56,13,-13,clayey,false,false,2/25/2022
barley,92,5,-2,loamy,false,false,2/14/2022
wheat,40,36,38,sandy,false,false,7/8/2022
soybeans,19,39,38,clayey,false,true,3/3/2022
corn,90,41,11,loamy,false,false,1/29/2022
corn,21,15,5,loamy,false,true,7/10/2022
soybeans,76,27,33,clayey,false,true,11/22/2022
barley,88,8,-19,loamy,false,false,9/26/2022
corn,40,1,-1,loamy,false,false,4/1/2022
soybeans,41,6,5,loamy,false,false,1/10/2022
barley,57,41,4,loamy,false,true,9/22/2022
wheat,99,46,-10,sandy,true,true,6/2/2022
soybeans,26,3,46,clayey,true,true,11/6/2022
soybeans,1,26,1,sandy,true,true,3/21/2022
barley,52,10,44,loamy,false,true,4/13/2022
wheat,30,32,-6,loamy,false,true,3/27/2022
wheat,70,48,12,sandy,false,true,6/2/2022
corn,62,47,35,loamy,false,true,10/17/2022
barley,12,45,20,loamy,true,false,6/16/2022
rice,62,5,47,clayey,true,true,10/27/2022
wheat,79,5,48,clayey,true,false,3/25/2022
rice,86,24,16,clayey,true,true,2/22/2022
rice,68,38,42,loamy,true,false,9/2/2022
soybeans,15,8,3,clayey,false,false,9/28/2022
barley,27,13,6,sandy,false,true,12/11/2022
corn,38,24,18,sandy,false,true,4/4/2022
wheat,55,18,39,clayey,false,true,8/24/2022
corn,58,47,39,sandy,true,true,2/13/2022
wheat,86,12,38,clayey,false,true,2/6/2022
corn,45,28,-12,sandy,false,true,8/23/2022
wheat,16,19,-13,sandy,true,true,7/5/2022
soybeans,47,3,-15,clayey,false,true,8/16/2022
rice,37,2,18,sandy,false,true,4/22/2022
wheat,93,32,-4,sandy,false,true,3/6/2022
rice,78,34,-12,sandy,false,true,11/19/2022
soybeans,89,17,0,sandy,false,true,2/3/2022
wheat,67,24,6,loamy,true,false,1/16/2022
rice,76,17,38,sandy,true,true,9/19/2022
corn,58,38,33,clayey,false,true,6/28/2022
corn,26,18,27,loamy,true,false,12/28/2022
soybeans,80,1,9,loamy,false,false,2/9/2022
rice,49,30,33,clayey,false,true,7/24/2022
corn,12,11,-14,clayey,false,true,6/26/2022
barley,9,6,-4,sandy,true,false,8/17/2022
soybeans,10,33,33,sandy,false,false,2/6/2022
barley,75,17,-15,loamy,false,false,10/2/2022
wheat,14,47,27,sandy,true,false,10/24/2022
wheat,72,36,40,sandy,false,false,2/26/2022
soybeans,57,30,6,sandy,true,true,6/26/2022
wheat,59,10,10,clayey,true,true,6/9/2022
rice,48,12,21,clayey,false,false,8/4/2022
wheat,72,39,48,clayey,false,true,10/16/2022
wheat,73,19,16,loamy,true,false,11/24/2022
barley,70,11,8,sandy,true,true,10/31/2022
corn,7,8,-20,sandy,false,true,9/24/2022
wheat,32,22,-6,sandy,true,false,6/27/2022
corn,6,23,7,loamy,true,true,2/14/2022
corn,26,48,0,loamy,false,false,3/19/2022
rice,86,29,38,clayey,false,false,6/28/2022
soybeans,16,5,-5,clayey,false,true,7/4/2022
barley,56,33,30,loamy,false,true,5/6/2022
soybeans,22,1,50,sandy,true,true,9/14/2022
corn,41,15,44,clayey,false,true,4/16/2022
soybeans,4,7,-2,loamy,true,true,2/26/2022
soybeans,14,48,-16,sandy,true,true,8/18/2022
corn,45,45,27,sandy,true,false,6/19/2022
barley,74,31,43,clayey,true,true,12/29/2022
corn,64,11,14,clayey,true,true,3/23/2022
soybeans,6,12,45,sandy,false,true,5/17/2022
soybeans,90,6,34,clayey,false,true,4/11/2022
barley,3,2,37,sandy,false,false,4/25/2022
soybeans,86,29,40,sandy,true,false,10/20/2022
barley,73,44,-7,loamy,true,false,7/4/2022
barley,46,44,-2,loamy,true,false,2/17/2022
barley,90,20,27,clayey,false,true,12/26/2022
rice,14,49,49,sandy,true,false,5/28/2022
corn,77,1,21,loamy,false,true,9/15/2022
soybeans,26,4,7,sandy,false,true,3/23/2022
barley,46,19,3,loamy,true,false,8/20/2022
barley,79,10,29,sandy,false,false,5/6/2022
corn,38,16,42,loamy,false,true,1/12/2022
wheat,54,23,36,clayey,false,true,9/17/2022
barley,91,45,-12,loamy,false,false,1/2/2022
corn,55,13,47,clayey,true,true,3/9/2022
soybeans,98,25,10,sandy,true,false,4/8/2022
rice,16,47,10,loamy,false,false,7/5/2022
barley,76,1,41,clayey,false,true,6/30/2022
soybeans,83,41,50,sandy,false,false,2/17/2022
barley,17,43,29,sandy,true,true,6/15/2022
wheat,57,13,5,clayey,false,false,11/28/2022
rice,15,15,-17,loamy,false,false,10/15/2022
rice,79,11,10,sandy,true,true,8/29/2022
wheat,36,34,30,sandy,true,false,2/19/2022
soybeans,64,22,25,clayey,true,true,9/8/2022
soybeans,55,36,-9,sandy,false,false,12/17/2022
rice,71,1,18,loamy,true,false,11/16/2022
rice,40,41,39,loamy,false,true,2/6/2022
wheat,27,26,-4,loamy,true,false,8/18/2022
rice,15,26,-9,sandy,true,false,12/2/2022
wheat,16,34,-10,loamy,false,false,2/4/2022
wheat,32,13,3,clayey,false,false,12/25/2022
corn,12,6,49,clayey,false,false,5/27/2022
soybeans,22,47,28,clayey,false,false,12/11/2022
barley,79,12,33,clayey,false,false,9/25/2022
barley,44,0,29,sandy,true,true,1/7/2022
rice,50,1,28,sandy,true,true,12/2/2022
soybeans,79,7,49,sandy,false,false,8/7/2022
rice,62,18,39,sandy,false,false,2/21/2022
wheat,70,37,-17,clayey,true,false,12/11/2022
wheat,54,16,-18,loamy,true,false,8/17/2022
soybeans,52,1,38,clayey,true,false,4/25/2022
barley,69,49,-12,clayey,false,false,8/15/2022
soybeans,87,35,20,clayey,true,true,8/9/2022
rice,13,16,7,clayey,true,true,8/2/2022
soybeans,78,30,-13,loamy,true,false,11/9/2022
soybeans,31,32,23,sandy,false,true,1/23/2022
corn,43,26,20,loamy,true,true,11/26/2022
barley,92,2,16,clayey,true,true,6/11/2022
rice,67,12,29,sandy,false,false,1/14/2022
rice,91,28,14,clayey,true,false,9/23/2022
rice,46,27,25,sandy,true,false,10/21/2022
wheat,35,16,20,clayey,false,true,10/18/2022
wheat,83,36,44,loamy,false,true,11/13/2022
barley,18,47,-17,clayey,true,true,7/20/2022
corn,24,48,35,sandy,true,true,8/24/2022
corn,97,46,-5,loamy,true,true,7/11/2022
barley,37,10,47,clayey,true,false,6/21/2022
soybeans,43,20,-14,loamy,false,true,12/7/2022
soybeans,9,35,17,loamy,false,false,11/14/2022
barley,47,34,-3,sandy,false,false,4/22/2022
barley,31,1,48,loamy,true,false,1/4/2022
rice,8,23,26,loamy,true,true,10/8/2022
wheat,87,0,7,loamy,false,false,3/5/2022
corn,58,22,22,clayey,true,true,3/15/2022
corn,67,45,25,sandy,true,true,7/15/2022
soybeans,18,43,-7,sandy,false,false,8/31/2022
barley,6,30,7,loamy,false,true,5/5/2022
soybeans,15,12,-16,sandy,false,false,4/12/2022
rice,26,26,29,loamy,false,true,9/29/2022
corn,28,31,-1,loamy,false,false,10/27/2022
barley,55,18,49,clayey,true,true,4/26/2022
barley,71,44,-17,clayey,false,true,3/26/2022
soybeans,72,29,45,loamy,true,true,12/4/2022
wheat,74,24,16,loamy,false,false,8/22/2022
rice,51,1,22,sandy,false,true,7/14/2022
barley,48,9,-16,clayey,true,true,5/14/2022
wheat,91,17,41,clayey,true,false,5/5/2022
soybeans,88,48,46,sandy,false,true,1/22/2022
corn,6,43,19,sandy,false,true,10/20/2022
wheat,83,37,43,clayey,true,true,11/4/2022
rice,39,11,23,sandy,false,false,1/15/2022
corn,4,25,23,sandy,true,false,11/17/2022
rice,58,8,-3,clayey,false,true,6/3/2022
rice,27,5,-11,loamy,false,true,2/17/2022
barley,29,35,-16,clayey,false,true,3/1/2022
soybeans,66,5,-14,loamy,false,true,3/11/2022
soybeans,51,30,43,loamy,true,false,9/13/2022
soybeans,91,15,39,sandy,false,false,10/29/2022
soybeans,34,29,10,clayey,true,true,1/26/2022
wheat,87,16,20,sandy,true,true,8/15/2022
rice,41,8,37,loamy,true,false,3/24/2022
corn,85,47,-11,loamy,true,true,7/25/2022
wheat,30,49,21,clayey,true,false,1/31/2022
rice,49,33,0,sandy,false,false,7/17/2022
rice,31,23,-1,loamy,true,false,6/22/2022
rice,6,15,35,clayey,true,false,6/11/2022
barley,95,11,19,sandy,true,false,7/29/2022
barley,38,41,-17,clayey,false,true,9/25/2022
barley,61,38,32,sandy,false,true,12/13/2022
wheat,30,22,21,sandy,false,false,2/3/2022
barley,43,19,48,sandy,false,false,2/22/2022
soybeans,3,10,-8,loamy,false,false,3/17/2022
wheat,46,36,5,loamy,true,true,5/22/2022
rice,64,1,46,sandy,true,true,1/1/2022
corn,86,33,15,loamy,false,true,8/7/2022
wheat,70,35,8,clayey,true,true,11/30/2022
wheat,40,26,-11,loamy,true,false,8/8/2022
wheat,13,19,-19,loamy,false,false,1/5/2022
barley,73,48,-2,loamy,false,true,5/21/2022
soybeans,43,15,1,clayey,false,true,6/4/2022
barley,52,18,29,sandy,true,false,1/3/2022
wheat,70,30,-2,loamy,false,false,4/3/2022
barley,97,0,37,clayey,false,false,4/18/2022
corn,6,11,14,sandy,true,true,5/1/2022
barley,60,0,41,sandy,true,false,10/4/2022
rice,35,20,-9,sandy,false,false,2/5/2022
barley,73,21,49,loamy,false,false,10/28/2022
rice,41,46,5,clayey,true,true,12/21/2022
corn,95,14,35,sandy,false,true,10/8/2022
soybeans,18,40,20,clayey,false,false,10/19/2022
barley,91,18,6,loamy,true,true,2/1/2022
corn,97,4,-6,clayey,false,false,9/18/2022
rice,31,4,0,clayey,false,false,1/10/2022
corn,7,20,45,sandy,false,true,12/6/2022
corn,80,24,20,sandy,true,true,6/29/2022
wheat,78,17,21,sandy,false,false,11/2/2022
barley,41,49,17,sandy,false,false,11/1/2022
rice,57,3,14,clayey,false,false,1/16/2022
corn,24,21,44,clayey,false,false,7/16/2022
soybeans,14,44,-4,sandy,true,false,4/17/2022
rice,64,19,12,sandy,true,false,12/23/2022
corn,70,30,0,sandy,false,true,11/18/2022
soybeans,58,42,12,loamy,true,false,11/24/2022
rice,89,38,47,sandy,true,true,12/14/2022
corn,36,33,-11,loamy,true,true,12/11/2022
barley,44,30,45,loamy,false,false,5/2/2022
wheat,20,20,7,clayey,true,true,7/8/2022
rice,19,11,49,sandy,true,true,7/29/2022
corn,57,17,16,sandy,false,true,6/25/2022
corn,44,6,13,loamy,true,false,9/6/2022
barley,18,42,-4,sandy,true,false,1/24/2022
soybeans,51,32,32,clayey,false,false,9/8/2022
barley,12,2,-17,clayey,true,false,10/21/2022
wheat,45,21,-8,clayey,true,true,5/11/2022
wheat,43,33,6,clayey,true,true,2/15/2022
wheat,55,37,40,clayey,false,false,4/13/2022
corn,4,40,-10,clayey,true,true,11/9/2022
wheat,89,48,1,clayey,false,false,6/3/2022
wheat,87,42,33,sandy,false,true,12/18/2022
soybeans,44,11,-2,clayey,false,false,12/4/2022
barley,98,17,46,sandy,false,true,8/27/2022
corn,34,1,-18,loamy,false,true,8/6/2022
corn,62,39,-6,sandy,true,true,6/13/2022
wheat,7,27,37,loamy,false,false,6/2/2022
rice,61,12,-14,sandy,true,false,7/25/2022
soybeans,2,31,-14,sandy,false,true,4/18/2022
rice,9,23,-15,clayey,true,false,8/11/2022
rice,36,24,36,sandy,false,false,3/13/2022
soybeans,54,20,2,clayey,false,false,4/24/2022
wheat,75,33,43,sandy,true,false,2/17/2022
corn,24,17,5,clayey,false,false,11/1/2022
barley,41,35,9,loamy,false,true,6/19/2022
barley,43,33,31,loamy,true,false,5/14/2022
wheat,88,24,9,clayey,true,false,5/6/2022
wheat,48,49,21,clayey,true,false,8/18/2022
soybeans,58,3,34,sandy,false,false,11/8/2022
wheat,35,45,-15,sandy,true,false,12/19/2022
soybeans,80,20,31,loamy,false,true,5/30/2022
barley,6,38,-2,sandy,false,false,4/10/2022
soybeans,91,45,-6,loamy,true,false,2/20/2022
wheat,3,10,14,loamy,false,true,5/12/2022
soybeans,41,24,50,clayey,false,true,11/28/2022
